MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,BFSI,MIRAEAMC - MAFSETF,        28.57,        28.99,        28.99,        28.43,        28.74,                  6044514.45,210906,769,        29.52,        23.01,NIFTY FINANCIAL SERVICES INDEX
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        39.26,        39.29,        39.65,        39.22,        39.60,                  3835077.85,97239,1409,        41.64,        33.00,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,       134.37,       135.29,       135.29,       130.17,       133.41,                116880479.38,880822,3832,       155.99,        72.82,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        29.84,        29.09,        30.14,        29.09,        29.91,                  5536272.01,185555,4275,        31.45,        20.37,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        83.47,        83.06,        83.81,        82.77,        83.68,                    74642.48,895,100,        87.82,        61.64,BSE SENSEX INDEX
N,EQ,CASHIETF,ICICIPRAMC - CASHIETF,      1048.47,      1048.83,      1048.84,      1048.82,      1048.82,                479451778.75,457133,88,      1064.57,      1001.47,BSE LIQUID RATE INDEX
N,EQ,CHEMICAL,KOTAKMAMC - CHEMICAL,        28.46,        28.55,        28.55,        28.17,        28.34,                  7024986.68,248160,730,        30.00,        26.75,NIFTY CHEMICALS INDEX (TRI)
N,EQ,CHOICEGOLD,CHOICEAMC - CHOICEGOLD,       150.33,       149.97,       156.99,       147.53,       150.92,                 15472408.67,103219,2262,       175.49,       120.00,GOLD
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,       100.26,       100.22,       100.77,        99.44,       100.49,                  7541539.09,75321,684,       103.99,        75.61,ICICI PRUDENTIAL NIFTY COMMODITIES ETF
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,       120.09,       120.69,       121.29,       119.29,       121.24,                  4305573.31,35923,66,       132.00,       102.46,KOTAK NIFTY INDIA CONSUMPTION ETF
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       130.21,       131.38,       131.38,       128.92,       131.16,                 13800650.05,105847,1381,       144.38,       110.86,NIFTY INDIA CONSUMPTION TRI
N,EQ,CONSUMER,MIRAEAMC - CONSUMER,        11.41,        11.41,        11.44,        11.30,        11.42,                  2619997.35,230104,368,        12.87,         9.00,NIFTY INDIA NEW AGECONSUMPTION
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,       120.97,       120.63,       122.03,       120.04,       121.80,                  1267399.49,10456,291,       133.81,       101.23,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,        99.79,        97.29,       100.12,        97.29,        99.82,                236278038.50,2377873,8858,       102.40,        74.90,CPSE ETF
N,EQ,DIVIDEND,MIRAEAMC - DIVIDEND,        37.18,        37.36,        37.36,        36.74,        37.16,                  1633308.85,44278,114,        38.03,        35.31,BSE 500 DIVIDEND LEADERS
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        83.49,        84.89,        84.89,        82.50,        83.73,                  2484536.02,29914,869,        86.65,        68.30,NIFTY DIVIDEND OPPORTUNITIES 50 TRI
N,EQ,EBANKNIFTY,EDELAMC - EBANKNIFTY,        60.10,        60.50,        60.62,        60.04,        60.60,                  1039496.32,17274,36,        62.10,        47.00,EDELWEISS NIFTY BANK ETF
