MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,ENCOMPAS,ENCOMPASS DESIGN INDIA L,       246.75,       240.05,       242.40,       225.00,       234.90,                 60364380.00,265200, ,       265.00,       167.35
N,SM,EMMIL,ENERGY MISSION MACH IND L,       151.90,       150.00,       150.00,       148.00,       148.00,                   260500.00,1750, ,       286.15,       139.45
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       200.50,       198.00,       212.05,       198.00,       212.00,                   750630.00,3600, ,       284.00,       164.00
N,SM,ENSER,ENSER COMMUNICATIONS LTD,        13.50,        13.90,        13.90,        12.55,        13.05,                   655250.00,50000, ,       162.80,        11.35
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,       109.00,       105.05,       105.65,       105.05,       105.05,                  1577750.00,15000, ,       173.00,        82.00
N,SM,EEPL,EPPELTONE ENGINEERS LTD,       153.95,       153.00,       156.95,       150.00,       153.45,                  2757000.00,18000, ,       267.90,       138.00
N,SM,EPWINDIA,EPW INDIA LIMITED,       111.00,       113.00,       122.00,       113.00,       114.15,                  6194340.00,52800, ,       123.50,        98.00
N,SM,ESCONET,ESCONET TECHNOLOGIES LTD,       124.15,       125.00,       126.00,       118.00,       118.85,                  1444440.00,12000, ,       296.00,       114.50
N,SM,ESPRIT,ESPRIT STONES LIMITED,        90.70,        93.00,        93.00,        86.00,        86.80,                  4836480.00,54400, ,       134.55,        52.00
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       138.00,       138.00,       139.95,       133.65,       136.85,                  2393226.00,17640, ,       625.45,       133.65
N,ST,EXCELLENT,EXCELLENT WIRES N PACK L,        67.00,        66.90,        70.25,        64.70,        64.70,                  1156560.00,17600, ,        71.25,        36.90
G,ST,EXIMROUTES,EXIM ROUTES LIMITED,       205.40,       201.30,       201.30,       201.30,       201.30,                   644160.00,3200, ,       281.90,       104.50
N,SM,FALCONTECH,FALCON TECHNOPROJ IND LTD,        15.35,        15.35,        15.35,        14.60,        14.90,                   160620.00,10800, ,        42.95,        14.25
N,SM,FELIX,FELIX INDUSTRIES LTD.,       197.55,       191.50,       204.00,       187.20,       201.60,                  6356875.00,32000, ,       220.00,       108.00
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       155.00,       142.00,       142.00,       142.00,       142.00,                   284000.00,2000, ,       234.00,       109.00
N,SM,FINBUD,FINBUD FINANCIAL SERV LTD,       112.10,       113.90,       113.90,       113.90,       113.90,                   113900.00,1000, ,       164.85,       103.05
N,SM,FLYSBS,FLYSBS AVIATION LIMITED,       464.90,       462.20,       488.10,       454.00,       488.10,                 17121070.00,36000, ,       790.00,       375.05
N,ST,FONEBOX,FONEBOX RETAIL LIMITED,        82.00,        77.90,        77.90,        77.90,        77.90,                    77900.00,1000, ,       124.40,        68.85
N,SM,FRESHARA,FRESHARA AGRO EXPORTS LTD,       199.10,       195.95,       199.00,       192.00,       196.05,                  4213050.00,21600, ,       221.95,       117.20
N,SM,FROG,FROG INNOVATIONS LIMITED,       140.20,       142.40,       142.40,       138.10,       139.15,                   560200.00,4000, ,       425.70,       133.00
N,SM,GAJANAND,GAJANAND INTERNATIONAL L,         9.65,         9.35,         9.45,         9.30,         9.45,                   196500.00,21000, ,        17.30,         9.00
N,SM,GGBL,GANESH GREEN BHARAT LTD,       296.95,       291.35,       295.00,       282.00,       284.90,                  4154610.00,14400, ,       555.00,       221.05
N,SM,GANESHIN,GANESH INFRAWORLD LIMITED,       112.85,       112.00,       113.00,       107.25,       107.55,                  8338000.00,76800, ,       279.80,        83.40
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,       399.00,       398.00,       418.95,       380.05,       418.90,                   804612.50,2000, ,       525.25,       306.65
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,       150.15,       158.50,       158.50,       158.50,       158.50,                    39625.00,250, ,       409.00,        96.80
N,SM,GLOBALPET,GLOBAL PET INDUSTRIES LTD,       118.00,       118.00,       118.00,       118.00,       118.00,                    88500.00,750, ,       159.70,        93.10
N,ST,GICL,GLOBE INTL CARRIERS LTD,        45.50,        45.00,        46.00,        44.50,        45.75,                 12726900.00,279000, ,       179.00,        38.95
G,ST,GSTL,GLOBESECURE TECHNO LTD,        21.05,        21.05,        21.35,        21.00,        21.35,                   212250.00,10000, ,        31.20,         5.95
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         4.80,         4.80,         4.80,         4.80,         4.80,                    54000.00,11250, ,        13.50,         4.50
